season	club	age	players used	% foreigners playing time	Stadium size	avg attendance abs	occupancy	covid	covid occupancy
2018/19	Atalanta	26.0	27	0,788	22512	18301	0,812944208	0	0
2018/19	Bologna	26.6	29	0,716	36462	20870	0,572376721	0	0
2018/19	Cagliari	28.0	30	0,358	16416	14483	0,882249025	0	0
2018/19	Chievo	28.0	36	0,439	31045	12285	0,395715896	0	0
2018/19	Empoli	26.4	29	0,579	19847	9506	0,478964075	0	0
2018/19	Fiorentina	24.1	27	0,741	47282	31135	0,658495834	0	0
2018/19	Frosinone	26.4	33	0,187	16227	13275	0,818080976	0	0
2018/19	Genoa	26.0	31	0,707	36599	20870	0,570234159	0	0
2018/19	Inter	27.6	23	0,82	75923	61423	0,80901703	0	0
2018/19	Juventus	27.6	31	0,694	41507	39231	0,945165876	0	0
2018/19	Lazio	27.6	30	0,728	73261	33631	0,459057343	0	0
2018/19	Milan	24.7	23	0,653	75923	54651	0,719821398	0	0
2018/19	Napoli	26.6	26	0,876	54726	29000	0,529912656	0	0
2018/19	Parma	29.1	31	0,343	22352	16522	0,739173228	0	0
2018/19	Roma	26.8	26	0,635	73261	38622	0,527183631	0	0
2018/19	Sampdoria	25.9	24	0,577	36348	20267	0,55758226	0	0
2018/19	Sassuolo	25.4	29	0,47	21584	12516	0,579873981	0	0
2018/19	Spal	28.0	28	0,351	16134	13559	0,840399157	0	0
2018/19	Torino	27.1	25	0,497	27994	21344	0,762449096	0	0
2018/19	Udinese	25.3	31	0,765	25144	20329	0,808503023	0	0
2018/19	Anderlecht	23.9	32	0,597	21500	19398	0,902232558	0	0
2018/19	Antwerp	27.3	25	0,745	15402	12492	0,811063498	0	0
2018/19	Cercle Brugge	25.2	28	0,81	29062	6587	0,226653362	0	0
2018/19	Charleroi	26.6	32	0,806	15000	9077	0,605133333	0	0
2018/19	Club Brugge	24.2	28	0,653	29062	25481	0,876780676	0	0
2018/19	Eupen	26.0	27	0,681	8363	2894	0,346048069	0	0
2018/19	Genk	24.3	27	0,761	24956	17995	0,721069082	0	0
2018/19	Gent	24.9	32	0,692	19999	18751	0,93759688	0	0
2018/19	Kortrijk	27.4	23	0,558	9399	7272	0,77369933	0	0
2018/19	Lokeren	27.2	31	0,577	12000	4541	0,378416667	0	0
2018/19	Mouscron	24.5	32	0,693	10830	4002	0,369529086	0	0
2018/19	Oostende	24.9	27	0,565	8432	5331	0,632234345	0	0
2018/19	St Truiden	24.9	27	0,731	14600	7391	0,506232877	0	0
2018/19	Standard	25.4 	26	0,742	27670	24168	0,873436935	0	0
2018/19	Waasland-Beveren	23.0	31	0,587	13290	4828	0,363280662	0	0
2018/19	Waregem	27.6	26	0,604	12250	8618	0,703510204	0	0
2018/19	Den Haag	27.0	25	0,363	15000	12561	0,8374	0	0
2018/19	Ajax	24.4	29	0,595	54990	52987	0,963575195	0	0
2018/19	AZ Alkmaar	24.0	24	0,357	17023	15118	0,888092581	0	0
2018/19	FC Emmen	25.0	28	0,098	8309	8238	0,991455049	0	0
2018/19	Excelsior	26.1	24	0,466	4400	4223	0,959772727	0	0
2018/19	Feyenoord	25.8	28	0,232	47500	42065	0,885578947	0	0
2018/19	For Sittard	23.6	28	0,63	12500	9100	0,728	0	0
2018/19	Graafschap	25.5	26	0,071	12600	12321	0,977857143	0	0
2018/19	Groningen	22.6	27	0,453	22550	18025	0,799334812	0	0
2018/19	Heerenveen	23.3	24	0,361	27224	18743	0,688473406	0	0
2018/19	Heracles	25.2	25	0,676	12400	10993	0,886532258	0	0
2018/19	NAC Breda	24.4	34	0,382	19000	18262	0,961157895	0	0
2018/19	Zwolle	24.0	26	0,379	14000	13478	0,962714286	0	0
2018/19	PSV Eindhoven	23.5	26	0,352	35000	34071	0,973457143	0	0
2018/19	Utrecht	25.0	26	0,396	23750	18846	0,793515789	0	0
