"season,""date"",""league_id"",""league"",""HomeTeam"",""AwayTeam"",""spi1"",""spi2"",""prob1"",""prob2"",""probtie"",""proj_score1"",""proj_score2"",""importance1"",""importance2"",""score1"",""score2"",""xg1"",""xg2"",""nsxg1"",""nsxg2"",""adj_score1"",""adj_score2"""
"2018,2018-07-27,1832,""Belgian Jupiler League"",""Standard"",""Gent"",64.67,58.23,0.5059,0.2336,0.2605,1.59,0.99,NA,NA,3,2,NA,NA,NA,NA,NA,NA"
"2018,2018-07-28,1832,""Belgian Jupiler League"",""Kortrijk"",""Anderlecht"",50.25,60.43,0.3593,0.3847,0.256,1.43,1.49,NA,NA,1,4,NA,NA,NA,NA,NA,NA"
"2018,2018-07-28,1832,""Belgian Jupiler League"",""St Truiden"",""Cercle Brugge"",37.42,35.77,0.4669,0.2457,0.2874,1.35,0.9,NA,NA,0,0,NA,NA,NA,NA,NA,NA"
"2018,2018-07-28,1832,""Belgian Jupiler League"",""Waregem"",""Waasland-Beveren"",44.68,42.33,0.4845,0.2769,0.2385,1.81,1.32,NA,NA,2,2,NA,NA,NA,NA,NA,NA"
"2018,2018-07-28,1832,""Belgian Jupiler League"",""Oostende"",""Mouscron"",50.99,35.65,0.6243,0.1689,0.2069,2.15,1.03,NA,NA,2,1,NA,NA,NA,NA,NA,NA"
"2018,2018-07-29,1832,""Belgian Jupiler League"",""Club Brugge"",""Eupen"",67.64,41.51,0.7658,0.0839,0.1503,2.61,0.76,NA,NA,5,2,NA,NA,NA,NA,NA,NA"
"2018,2018-07-29,1832,""Belgian Jupiler League"",""Sporting de Charleroi"",""Antwerp"",45.52,42.77,0.4797,0.2502,0.2701,1.49,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA"
"2018,2018-07-29,1832,""Belgian Jupiler League"",""Lokeren"",""Genk"",38.89,58.07,0.271,0.4652,0.2639,1.11,1.53,NA,NA,0,4,NA,NA,NA,NA,NA,NA"
"2018,2018-08-03,1832,""Belgian Jupiler League"",""Waasland-Beveren"",""Standard"",42.9,65.31,0.2451,0.5356,0.2193,1.36,2.08,NA,NA,0,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-04,1832,""Belgian Jupiler League"",""Eupen"",""Sporting de Charleroi"",41.29,43.65,0.4289,0.316,0.2551,1.57,1.32,NA,NA,1,4,NA,NA,NA,NA,NA,NA"
"2018,2018-08-04,1832,""Belgian Jupiler League"",""Cercle Brugge"",""Lokeren"",36.24,35.12,0.4631,0.2579,0.279,1.41,0.98,NA,NA,3,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-04,1832,""Belgian Jupiler League"",""Antwerp"",""Kortrijk"",44.44,47.41,0.4264,0.2993,0.2742,1.41,1.13,NA,NA,0,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-04,1832,""Belgian Jupiler League"",""Gent"",""Waregem"",58.24,44.18,0.6103,0.1651,0.2246,1.92,0.88,NA,NA,1,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-05,1832,""Belgian Jupiler League"",""Anderlecht"",""Oostende"",63.55,50.87,0.5907,0.1929,0.2164,2.07,1.1,NA,NA,5,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-05,1832,""Belgian Jupiler League"",""Genk"",""St Truiden"",62.05,36.84,0.6939,0.0924,0.2137,1.86,0.51,NA,NA,1,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-05,1832,""Belgian Jupiler League"",""Mouscron"",""Club Brugge"",35.74,68.38,0.1645,0.6532,0.1823,1.22,2.54,NA,NA,0,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-10,1849,""Dutch Eredivisie"",""Zwolle"",""Heerenveen"",33.09,42.46,0.3617,0.3527,0.2856,1.38,1.36,37.5,19.7,2,3,NA,NA,NA,NA,NA,NA"
"2018,2018-08-10,1832,""Belgian Jupiler League"",""Club Brugge"",""Kortrijk"",68.66,47.66,0.7188,0.1028,0.1784,2.3,0.74,75.2,14,3,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-10,1843,""French Ligue 1"",""Marseille"",""Toulouse"",73.89,58.39,0.6634,0.1315,0.2051,2.1,0.81,56.2,19.3,4,0,3.54,0.3,0.98,1.04,3.19,0"
"2018,2018-08-10,1882,""Turkish Turkcell Super Lig"",""Ankaragucu"",""Galatasaray"",33.13,73.85,0.104,0.7227,0.1732,0.77,2.35,43.6,58.8,1,3,NA,NA,NA,NA,NA,NA"
"2018,2018-08-10,2411,""Barclays Premier League"",""Man United"",""Leicester"",82.66,69.64,0.64,0.1385,0.2215,2.01,0.81,60.3,21.3,2,1,1.5,1.72,0.71,1.8,1.78,1.05"
"2018,2018-08-10,1864,""Portuguese Liga"",""Benfica"",""Guimaraes"",76.73,46.86,0.8321,0.0375,0.1304,2.47,0.36,61.1,11,3,2,2.12,0.96,1.17,0.63,3.15,2.1"
"2018,2018-08-11,2411,""Barclays Premier League"",""Newcastle"",""Tottenham"",67.21,85.75,0.201,0.5565,0.2425,1.03,1.87,23.8,57.8,1,2,1.08,2.15,1.6,1.5,1.05,2.1"
"2018,2018-08-11,2411,""Barclays Premier League"",""Bournemouth"",""Cardiff"",62.75,59.47,0.4886,0.2451,0.2664,1.63,1.08,36.3,40,2,0,2.2,0.96,2.28,1.16,1.58,0"
"2018,2018-08-11,2411,""Barclays Premier League"",""Watford"",""Brighton"",66.07,63.08,0.4693,0.247,0.2837,1.47,0.99,29.5,33.6,2,0,1.66,0.32,2.11,0.98,2.1,0"
"2018,2018-08-11,2411,""Barclays Premier League"",""Huddersfield"",""Chelsea"",60.2,84.39,0.1644,0.5945,0.2411,0.85,1.85,36.1,58.8,0,3,0.45,2.16,0.94,1.35,0,2.9"
"2018,2018-08-11,2411,""Barclays Premier League"",""Fulham"",""Crystal Palace"",64.41,70.2,0.3881,0.3341,0.2778,1.41,1.29,31.9,18.1,0,2,0.6,0.89,1.38,1.22,0,1.86"
"2018,2018-08-11,1843,""French Ligue 1"",""Nantes"",""Monaco"",60.77,70.48,0.3197,0.4116,0.2686,1.25,1.46,18.1,45.2,1,3,1.29,2.22,2.11,0.87,1.05,2.58"
"2018,2018-08-11,1864,""Portuguese Liga"",""Setubal"",""Aves"",41.69,41.12,0.4477,0.2764,0.2759,1.43,1.06,27.9,28,2,0,1.69,0.27,1.85,0.52,1.89,0"
"2018,2018-08-11,1832,""Belgian Jupiler League"",""Standard"",""Cercle Brugge"",65,36.9,0.8034,0.0556,0.1411,2.5,0.51,53.3,14.4,0,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1849,""Dutch Eredivisie"",""Willem II"",""VVV Venlo"",41.8,31.07,0.543,0.1915,0.2655,1.73,0.92,25,34.6,0,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,2411,""Barclays Premier League"",""Wolves"",""Everton"",62.92,67.49,0.3991,0.317,0.2839,1.38,1.2,33.7,24,2,2,0.92,0.76,0.53,0.68,1.68,2.1"
"2018,2018-08-11,1882,""Turkish Turkcell Super Lig"",""Rizespor"",""Kasimpasa"",37.41,50.48,0.3422,0.4119,0.2459,1.45,1.61,36,16,2,3,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1849,""Dutch Eredivisie"",""Ajax"",""Heracles"",75.16,37.69,0.8793,0.027,0.0937,3.14,0.44,89.1,24.7,1,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1882,""Turkish Turkcell Super Lig"",""Sivasspor"",""Alanyaspor"",44.41,49.14,0.4167,0.3385,0.2448,1.63,1.45,26.6,19.4,1,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1843,""French Ligue 1"",""Lille"",""Rennes"",55.32,63.15,0.3802,0.3419,0.2778,1.33,1.25,27.1,21.6,3,1,1.96,0.52,2.06,1.06,3.15,1.05"
"2018,2018-08-11,1843,""French Ligue 1"",""Nice"",""Reims"",64.09,54.25,0.5499,0.2015,0.2485,1.73,0.95,22.1,28.2,0,1,1,0.26,1.45,0.45,0,1.05"
"2018,2018-08-11,1832,""Belgian Jupiler League"",""Waregem"",""Eupen"",45.22,37.88,0.535,0.2456,0.2195,2.08,1.36,11.2,22,4,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1843,""French Ligue 1"",""Angers"",""Nimes"",59.43,54.87,0.4878,0.2431,0.2691,1.53,1,22.7,29,3,4,2.81,1.33,1.85,1.01,3.15,4.2"
"2018,2018-08-11,1843,""French Ligue 1"",""St Etienne"",""Guingamp"",61.7,57.65,0.4925,0.2522,0.2553,1.66,1.12,18.3,20.4,2,1,0.98,1.31,1.2,1.64,2.1,1.05"
"2018,2018-08-11,1832,""Belgian Jupiler League"",""St Truiden"",""Lokeren"",38.41,34.54,0.4815,0.2346,0.2839,1.39,0.88,27.3,33.8,1,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1864,""Portuguese Liga"",""Tondela"",""Belenenses"",40.79,43.43,0.4257,0.3021,0.2722,1.43,1.16,30.1,20.2,0,1,1.33,0.48,1.73,0.57,0,1.05"
"2018,2018-08-11,1843,""French Ligue 1"",""Montpellier"",""Dijon"",61.81,56.49,0.49,0.2405,0.2695,1.53,0.99,19,24.7,1,2,1.09,2.16,2.02,0.78,1.05,2.1"
"2018,2018-08-11,1832,""Belgian Jupiler League"",""Mouscron"",""Antwerp"",35.08,43.85,0.3754,0.3458,0.2788,1.29,1.22,27.5,9,0,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1849,""Dutch Eredivisie"",""Excelsior"",""For Sittard"",34.91,36.39,0.4264,0.2769,0.2967,1.41,1.08,36.6,30.4,1,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1849,""Dutch Eredivisie"",""PSV EIndhoven"",""Utrecht"",67.6,46.81,0.6936,0.1196,0.1868,2.51,0.96,61.7,16,4,0,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1882,""Turkish Turkcell Super Lig"",""Fenerbahce"",""Bursaspor"",72.9,42.25,0.8239,0.0481,0.128,2.6,0.48,65.2,25.7,2,1,NA,NA,NA,NA,NA,NA"
"2018,2018-08-11,1864,""Portuguese Liga"",""Porto"",""Chaves"",79.29,45.1,0.8719,0.0279,0.1003,2.82,0.36,71.9,15.6,5,0,4.78,0.05,2.63,0.12,4.67,0"
"2018,2018-08-12,1849,""Dutch Eredivisie"",""Den Haag"",""FC Emmen"",40.5,35.91,0.4752,0.2368,0.2881,1.52,0.99,25.2,33.5,1,2,NA,NA,NA,NA,NA,NA"
"2018,2018-08-12,1832,""Belgian Jupiler League"",""Oostende"",""Genk"",49.57,60.39,0.3228,0.4277,0.2496,1.38,1.63,17.6,43.9,0,2,NA,NA,NA,NA,NA,NA"
