"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","avg_age_home","players_used_home","foreigners_home","stadium_size","avg_attendance","occupancy","avg_age_away","players_used_away","foreigners_away","season","league","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","yel_card_spread","rating_diff","xg_diff","age_diff","red_card_spread","importance_diff","covid","home_win","away_win","draw","home_points","away_points","yel_card_ratio_home","red_card_ratio_home","yel_card_ratio_away","red_card_ratio_away","home_points_percentage_total","away_points_percentage_total","shots_ratio_home","shots_ratio_away","goal_diff","diff_point"
2018-08-10,"Man United","Leicester",2,1,"H",8,13,6,4,11,8,2,5,2,1,0,0,26,28,0.662,"74879","74498",0.994911791,25.9,25,0.547,2018,"Barclays Premier League",82.66,69.64,0.64,0.1385,0.2215,2.01,0.81,60.3,21.3,1.5,1.72,0.71,1.8,1.78,1.05,1,13.02,-0.22,0.100000000000001,0,39,0,1,0,0,3,0,0.181818181818182,0.181818181818182,0.125,0,1,0,0.75,0.307692307692308,1,3
2018-08-11,"Bournemouth","Cardiff",2,0,"H",12,10,4,1,11,9,7,4,1,1,0,0,26.2,28,0.522,"11329","10532",0.929649572,27.3,25,0.657,2018,"Barclays Premier League",62.75,59.47,0.4886,0.2451,0.2664,1.63,1.08,36.3,40,2.2,0.96,2.28,1.16,1.58,0,0,3.28,1.24,-1.1,0,-3.7,0,1,0,0,3,0,0.0909090909090909,0.0909090909090909,0.111111111111111,0,1,0,0.333333333333333,0.1,2,3
2018-08-11,"Fulham","Crystal Palace",0,2,"A",15,10,6,9,9,11,5,5,1,2,0,0,25.8,28,0.76,"19,000","24371",1.282684211,27.2,26,0.705,2018,"Barclays Premier League",64.41,70.2,0.3881,0.3341,0.2778,1.41,1.29,31.9,18.1,0.6,0.89,1.38,1.22,0,1.86,-1,-5.79000000000001,-0.29,-1.4,0,13.8,0,0,1,0,0,3,0.111111111111111,0.111111111111111,0.181818181818182,0,0,1,0.4,0.9,-2,-3
2018-08-11,"Huddersfield","Chelsea",0,3,"A",6,13,1,4,9,8,2,5,2,1,0,0,25.9,31,0.794,"24500","23340",0.952653061,27.1,24,0.93,2018,"Barclays Premier League",60.2,84.39,0.1644,0.5945,0.2411,0.85,1.85,36.1,58.8,0.45,2.16,0.94,1.35,0,2.9,1,-24.19,-1.71,-1.2,0,-22.7,0,0,1,0,0,3,0.222222222222222,0.222222222222222,0.125,0,0,1,0.166666666666667,0.307692307692308,-3,-3
2018-08-11,"Newcastle","Tottenham",1,2,"A",15,15,2,5,11,12,3,5,2,2,0,0,26.6,24,0.826,"52338","51121",0.976747296,26.6,28,0.679,2018,"Barclays Premier League",67.21,85.75,0.201,0.5565,0.2425,1.03,1.87,23.8,57.8,1.08,2.15,1.6,1.5,1.05,2.1,0,-18.54,-1.07,0,0,-34,0,0,1,0,0,3,0.181818181818182,0.181818181818182,0.166666666666667,0,0,1,0.133333333333333,0.333333333333333,-1,-3
2018-08-11,"Watford","Brighton",2,0,"H",19,6,5,0,10,16,8,2,2,2,0,0,27.9,25,0.755,"21577","20016",0.927654447,27.2,21,0.707,2018,"Barclays Premier League",66.07,63.08,0.4693,0.247,0.2837,1.47,0.99,29.5,33.6,1.66,0.32,2.11,0.98,2.1,0,0,2.98999999999999,1.34,0.699999999999999,0,-4.1,0,1,0,0,3,0,0.2,0.2,0.125,0,1,0,0.263157894736842,0,2,3
2018-08-11,"Wolves","Everton",2,2,"D",11,6,4,5,8,7,3,6,0,1,0,1,25.4,21,0.808,"32050","31025",0.968018721,25.5,23,0.633,2018,"Barclays Premier League",62.92,67.49,0.3991,0.317,0.2839,1.38,1.2,33.7,24,0.92,0.76,0.53,0.68,1.68,2.1,-1,-4.56999999999999,0.16,-0.100000000000001,-1,9.7,0,0,0,1,1,1,0,0,0.142857142857143,0.142857142857143,0.5,0.5,0.363636363636364,0.833333333333333,0,0
2018-08-12,"Arsenal","Man City",0,2,"A",9,17,3,8,11,14,2,9,2,2,0,0,26.4,28,0.94,"60704","59899",0.98673893,26.4,21,0.778,2018,"Barclays Premier League",81.57,92.13,0.2765,0.4894,0.2341,1.47,2,68.1,74.4,0.5,1.82,1.4,1.26,0,2.1,0,-10.56,-1.32,0,0,-6.30000000000001,0,0,1,0,0,3,0.181818181818182,0.181818181818182,0.142857142857143,0,0,1,0.333333333333333,0.470588235294118,-2,-3
2018-08-12,"Liverpool","West Ham",4,0,"H",18,5,8,2,14,9,5,4,1,2,0,0,26.2,23,0.777,"54,074","52983",0.979823945,27.7,26,0.747,2018,"Barclays Premier League",88.86,64.54,0.8203,0.0505,0.1292,2.75,0.55,54.8,20.7,3.86,0.38,2.42,0.66,3.75,0,-1,24.32,3.48,-1.5,0,34.1,0,1,0,0,3,0,0.0714285714285714,0.0714285714285714,0.222222222222222,0,1,0,0.444444444444444,0.4,4,3
2018-08-12,"Southampton","Burnley",0,0,"D",18,16,3,6,10,9,8,5,0,1,0,0,25.4,30,0.554,"32384","30139",0.930675642,27.9,23,0.298,2018,"Barclays Premier League",68.01,64.97,0.4677,0.242,0.2902,1.42,0.94,24,28.8,0.89,1.55,1.48,1.41,0,0,-1,3.04000000000001,-0.66,-2.5,0,-4.8,0,0,0,1,1,1,0,0,0.111111111111111,0,0.5,0.5,0.166666666666667,0.375,0,0
