"League","date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Home","Away","season","avg_age","players_used","foreigners_used","stadium_size","avg_att","occupancy","covid","covid_occupancy","avg_age_away","players_used_away","percentage_foreigners_used_away","NA","NA","NA"
"I1",0019-09-20,"17:00","Fiorentina","Torino","1","0","H","0","0","D","17","6","8","3","17","20","4","1","3","1","0","0","Fiorentina","Torino","26.6",30,0.731,"47282","0",0,1,0,"2020/21",26.6,28,0.619,"27994","0",0
"I1",0019-09-20,"19:45","Verona","Roma","0","0","D","0","0","D","9","15","7","7","19","20","0","6","2","0","0","0","Verona","Roma","25.7",30,0.468,"39211","0",0,1,0,"2020/21",26.6,26,0.668,"73261","0",0
"I1",0020-09-20,"11:30","Parma","Napoli","0","2","A","0","0","D","4","12","2","7","16","12","4","2","4","1","0","0","Parma","Napoli","27.4",37,0.693,"22352","0",0,1,0,"2020/21",26.9,25,0.72,"54726","0",0
"I1",0020-09-20,"14:00","Genoa","Crotone","4","1","H","3","1","H","10","11","8","5","13","14","6","4","4","2","0","0","Genoa","Crotone","27.8",33,0.453,"36599","0",0,1,0,"2020/21",27.4,29,0.595,"16640","0",0
"I1",0020-09-20,"17:00","Sassuolo","Cagliari","1","1","D","0","0","D","21","8","10","4","9","18","7","3","1","3","0","0","Sassuolo","Cagliari","26.3",27,0.569,"21584","0",0,1,0,"2020/21",25.9,31,0.644,"16416","0",0
"I1",0020-09-20,"19:45","Juventus","Sampdoria","3","0","H","1","0","H","14","10","9","2","15","9","6","4","1","1","0","0","Juventus","Sampdoria","26.8",28,0.77,"41507","0",0,1,0,"2020/21",27.7,26,0.561,"36348","0",0
"I1",0021-09-20,"19:45","Milan","Bologna","2","0","H","1","0","H","14","6","6","5","13","17","7","4","3","5","0","1","Milan","Bologna","24.1",29,0.7,"75923","1000",0.013171239281904,1,0,"2020/21",26.5,32,0.728,"36462","0",0
"I1",0026-09-20,"14:00","Torino","Atalanta","2","4","A","2","3","A","5","12","5","7","11","12","2","6","1","2","0","0","Torino","Atalanta","26.6",28,0.619,"27994","0",0,1,0,"2020/21",27,30,0.773,"22512","0",0
"I1",0026-09-20,"17:00","Cagliari","Lazio","0","2","A","0","1","A","9","9","3","7","8","13","3","6","1","1","0","0","Cagliari","Lazio","25.9",31,0.644,"16416","0",0,1,0,"2020/21",28.9,27,0.754,"73261","0",0
"I1",0026-09-20,"17:00","Sampdoria","Benevento","2","3","A","2","1","H","5","11","4","6","17","12","6","4","3","1","0","0","Sampdoria","Benevento","27.7",26,0.561,"36348","0",0,1,0,"2020/21",28.3,26,0.381,"16867","0",0
"I1",0026-09-20,"19:45","Inter","Fiorentina","4","3","H","1","1","D","12","8","6","4","15","10","5","1","1","1","0","0","Inter","Fiorentina","28.1",23,0.738,"75923","1000",0.013171239281904,1,0,"2020/21",26.6,30,0.731,"47282","0",0
"I1",0027-09-20,"11:30","Spezia","Sassuolo","1","4","A","1","1","D","11","10","6","8","13","8","3","5","2","1","0","0","Spezia","Sassuolo","25.1",34,0.497,"10336","0",0,1,0,"2020/21",26.3,27,0.569,"21584","0",0
